run_id,operation,algorithm,environment,count,mean_ms,median_ms,stdev_ms,min_ms,max_ms,p95_ms,p99_ms,mean_tracemalloc_peak_bytes,median_tracemalloc_peak_bytes,mean_payload_size_bytes
1,hybrid_sign_classical,RS256,arm64-darwin,100,1.5926,1.5471,0.337,1.4431,3.499,1.6747,3.4626,12379.4,12379.4,451.0
1,hybrid_sign_pqc,ML-DSA-44,arm64-darwin,100,0.2004,0.1853,0.0534,0.1182,0.3802,0.2932,0.3553,12379.4,12379.4,3342.0
1,hybrid_verify_classical,RS256,arm64-darwin,100,0.0552,0.0545,0.0016,0.0538,0.0626,0.0591,0.0611,14506.2,14506.2,451.0
1,hybrid_verify_pqc,ML-DSA-44,arm64-darwin,100,0.0456,0.0451,0.0013,0.0445,0.054,0.0475,0.0487,14506.2,14506.2,3342.0
1,jwt_sign,RS256,arm64-darwin,100,1.5831,1.5307,0.3423,1.4385,3.5875,1.6608,3.5289,3451.0,3451.0,451.0
1,jwt_verify,RS256,arm64-darwin,100,0.0568,0.0543,0.015,0.0526,0.1936,0.059,0.1077,2840.2,2840.2,451.0
1,kem_decapsulate,Kyber512,arm64-darwin,100,0.0164,0.0162,0.0008,0.016,0.0237,0.0169,0.0186,8960.0,8960.0,
1,kem_encapsulate,Kyber512,arm64-darwin,100,0.019,0.0185,0.0028,0.0181,0.0442,0.02,0.0254,8960.0,8960.0,
1,kem_keygen,Kyber512,arm64-darwin,100,0.0167,0.0165,0.0011,0.0161,0.0258,0.0172,0.0222,8960.0,8960.0,
1,pqc_sign,ML-DSA-44,arm64-darwin,100,0.1952,0.1786,0.0679,0.1112,0.4086,0.3307,0.3991,10621.6,10621.6,3342.0
1,pqc_verify,ML-DSA-44,arm64-darwin,100,0.0448,0.0437,0.0036,0.0431,0.0655,0.0469,0.065,13497.0,13497.0,3342.0
1,raw_kyber_decapsulate,Kyber512,arm64-darwin,100,0.0159,0.0158,0.0004,0.0156,0.0185,0.0163,0.0175,4384.0,4384.0,32.0
1,raw_kyber_encapsulate,Kyber512,arm64-darwin,100,0.018,0.0179,0.0005,0.0176,0.0222,0.0183,0.0188,4130.0,4130.0,768.0
1,raw_kyber_keygen,Kyber512,arm64-darwin,100,0.0189,0.0166,0.0107,0.0157,0.1096,0.0222,0.0649,5828.4,5828.4,800.0
1,raw_mldsa_keygen,ML-DSA-44,arm64-darwin,100,0.0475,0.0468,0.002,0.0454,0.0606,0.0494,0.0556,8036.4,8036.4,1312.0
1,raw_mldsa_sign,ML-DSA-44,arm64-darwin,100,0.1094,0.0881,0.0621,0.0561,0.463,0.2075,0.3263,9294.0,9294.0,2420.0
1,raw_mldsa_verify,ML-DSA-44,arm64-darwin,100,0.0443,0.0424,0.0065,0.0418,0.085,0.056,0.0716,5953.0,5953.0,2420.0
1,raw_rsa_keygen,RSA-2048,arm64-darwin,100,104.1499,97.7366,58.7627,17.098,314.1617,218.6225,261.1122,1933.2,1933.2,294.0
1,raw_rsa_sign,RSA-2048,arm64-darwin,100,89.0542,88.9843,0.4315,88.4075,92.0419,89.5433,90.4829,710.8,710.8,256.0
1,raw_rsa_verify,RSA-2048,arm64-darwin,100,0.1133,0.1102,0.016,0.1088,0.235,0.1162,0.2004,517.0,517.0,256.0
2,hybrid_sign_classical,RS256,arm64-darwin,100,1.7999,1.537,0.9828,1.4325,9.7775,3.3742,4.0843,12394.6,12394.6,451.0
2,hybrid_sign_pqc,ML-DSA-44,arm64-darwin,100,0.223,0.1915,0.1054,0.1166,0.8918,0.358,0.5872,12394.6,12394.6,3342.0
2,hybrid_verify_classical,RS256,arm64-darwin,100,0.0553,0.0552,0.0009,0.0542,0.0614,0.0566,0.0596,14506.2,14506.2,451.0
2,hybrid_verify_pqc,ML-DSA-44,arm64-darwin,100,0.0451,0.0451,0.0003,0.0447,0.0458,0.0456,0.0458,14506.2,14506.2,3342.0
2,jwt_sign,RS256,arm64-darwin,100,1.5927,1.5358,0.3555,1.4319,3.6243,1.6662,3.605,3451.0,3451.0,451.0
2,jwt_verify,RS256,arm64-darwin,100,0.0643,0.0542,0.0334,0.053,0.3067,0.1258,0.1885,2840.2,2840.2,451.0
2,kem_decapsulate,Kyber512,arm64-darwin,100,0.0166,0.0165,0.0007,0.0161,0.0203,0.0172,0.0196,8960.0,8960.0,
2,kem_encapsulate,Kyber512,arm64-darwin,100,0.0187,0.0186,0.0006,0.0182,0.0219,0.0192,0.0212,8960.0,8960.0,
2,kem_keygen,Kyber512,arm64-darwin,100,0.0167,0.0166,0.0004,0.0163,0.0202,0.0172,0.0176,8960.0,8960.0,
2,pqc_sign,ML-DSA-44,arm64-darwin,100,0.2313,0.1922,0.2329,0.1165,2.394,0.3286,0.7445,10621.6,10621.6,3342.0
2,pqc_verify,ML-DSA-44,arm64-darwin,100,0.0439,0.0438,0.0007,0.0433,0.0486,0.0446,0.0466,13497.0,13497.0,3342.0
2,raw_kyber_decapsulate,Kyber512,arm64-darwin,100,0.0161,0.016,0.0008,0.0157,0.0235,0.0165,0.019,4384.0,4384.0,32.0
2,raw_kyber_encapsulate,Kyber512,arm64-darwin,100,0.0185,0.0183,0.0009,0.018,0.0254,0.0188,0.0229,4130.0,4130.0,768.0
2,raw_kyber_keygen,Kyber512,arm64-darwin,100,0.0182,0.017,0.0047,0.0162,0.0602,0.0213,0.0295,5828.4,5828.4,800.0
2,raw_mldsa_keygen,ML-DSA-44,arm64-darwin,100,0.0475,0.047,0.0015,0.0451,0.0526,0.0499,0.052,8036.4,8036.4,1312.0
2,raw_mldsa_sign,ML-DSA-44,arm64-darwin,100,0.1004,0.0839,0.0494,0.0563,0.2654,0.2292,0.2441,9294.0,9294.0,2420.0
2,raw_mldsa_verify,ML-DSA-44,arm64-darwin,100,0.0448,0.0425,0.0107,0.042,0.138,0.0486,0.0775,5953.0,5953.0,2420.0
2,raw_rsa_keygen,RSA-2048,arm64-darwin,100,108.8377,97.2377,63.5839,19.6386,312.2755,224.3482,304.3951,1933.4,1933.4,294.0
2,raw_rsa_sign,RSA-2048,arm64-darwin,100,88.629,88.5636,0.4147,87.9368,91.4087,89.122,90.1515,742.0,742.0,256.0
2,raw_rsa_verify,RSA-2048,arm64-darwin,100,0.1106,0.1104,0.0012,0.109,0.1161,0.1127,0.1158,517.0,517.0,256.0
3,hybrid_sign_classical,RS256,arm64-darwin,100,1.6656,1.4957,0.8563,1.4488,9.3446,2.0359,3.6477,12358.8,12358.8,451.0
3,hybrid_sign_pqc,ML-DSA-44,arm64-darwin,100,0.1893,0.1748,0.0567,0.116,0.4031,0.3031,0.3971,12358.8,12358.8,3342.0
3,hybrid_verify_classical,RS256,arm64-darwin,100,0.0561,0.055,0.0048,0.0537,0.0964,0.0618,0.0716,14506.2,14506.2,451.0
3,hybrid_verify_pqc,ML-DSA-44,arm64-darwin,100,0.0457,0.045,0.0025,0.0444,0.0666,0.0476,0.0526,14506.2,14506.2,3342.0
3,jwt_sign,RS256,arm64-darwin,100,1.7123,1.5329,0.5441,1.4433,4.7454,2.8082,3.6575,3440.8,3440.8,451.0
3,jwt_verify,RS256,arm64-darwin,100,0.0542,0.0536,0.0019,0.0524,0.0624,0.0581,0.0614,2840.2,2840.2,451.0
3,kem_decapsulate,Kyber512,arm64-darwin,100,0.0167,0.0165,0.0005,0.0163,0.0196,0.017,0.0191,8960.0,8960.0,
3,kem_encapsulate,Kyber512,arm64-darwin,100,0.0186,0.0185,0.0006,0.0181,0.0221,0.0191,0.0216,8960.0,8960.0,
3,kem_keygen,Kyber512,arm64-darwin,100,0.0168,0.0167,0.0005,0.0163,0.0207,0.0172,0.018,8960.0,8960.0,
3,pqc_sign,ML-DSA-44,arm64-darwin,100,0.1828,0.1759,0.0465,0.1126,0.3256,0.275,0.3255,10621.6,10621.6,3342.0
3,pqc_verify,ML-DSA-44,arm64-darwin,100,0.0437,0.0436,0.0007,0.0432,0.0491,0.0445,0.0461,13497.0,13497.0,3342.0
3,raw_kyber_decapsulate,Kyber512,arm64-darwin,100,0.0161,0.016,0.0007,0.0157,0.0221,0.0165,0.0191,4384.0,4384.0,32.0
3,raw_kyber_encapsulate,Kyber512,arm64-darwin,100,0.0184,0.0182,0.0007,0.0179,0.0224,0.0189,0.0223,4130.0,4130.0,768.0
3,raw_kyber_keygen,Kyber512,arm64-darwin,100,0.0182,0.0171,0.0031,0.0161,0.0385,0.0234,0.0284,5828.4,5828.4,800.0
3,raw_mldsa_keygen,ML-DSA-44,arm64-darwin,100,0.0522,0.0478,0.0154,0.0456,0.1442,0.0743,0.1256,8036.4,8036.4,1312.0
3,raw_mldsa_sign,ML-DSA-44,arm64-darwin,100,0.1084,0.0966,0.05,0.0569,0.2932,0.2051,0.2869,9294.0,9294.0,2420.0
3,raw_mldsa_verify,ML-DSA-44,arm64-darwin,100,0.0434,0.0425,0.0052,0.0422,0.093,0.0448,0.0534,5953.0,5953.0,2420.0
3,raw_rsa_keygen,RSA-2048,arm64-darwin,100,112.0111,96.63,62.6081,28.286,326.8339,226.8783,311.4565,1933.1,1933.1,294.0
3,raw_rsa_sign,RSA-2048,arm64-darwin,100,90.2845,88.1522,9.1604,87.1055,147.1164,100.2048,143.0477,742.0,742.0,256.0
3,raw_rsa_verify,RSA-2048,arm64-darwin,100,0.1155,0.1114,0.0183,0.1098,0.2693,0.1427,0.1678,517.0,517.0,256.0
